date,cap
2017-08-17,71527949443.3
2017-08-19,69265141207.5
2017-08-22,67743202431.2
2017-08-25,72241507489.2
2017-08-28,72445588933
2017-08-31,77775374624.8
2017-09-03,75812181333.5
2017-09-06,76077049312
2017-09-09,69963847482.2
2017-09-12,68412822896
2017-09-15,60267886368
2017-09-18,67377945990
2017-09-21,60202370872
2017-09-23,62892069388.8
2017-09-26,64569365079.4
2017-09-29,69086146650
2017-10-02,73195646775.8
2017-10-05,71876277937
2017-10-08,76589293760
2017-10-11,80205238020
2017-10-14,96942498330.5
2017-10-17,93218297188.6
2017-10-20,100007083345
2017-10-23,98695054084
2017-10-26,98310176011
2017-10-29,102482445590
2017-10-31,107743731291
2017-11-03,120097405359
2017-11-06,117050623317
2017-11-09,119104730750
2017-11-12,99226193603.2
2017-11-15,122035826506
2017-11-18,129997247838
2017-11-21,134739693480
2017-11-24,137831976173
2017-11-27,164019464090
2017-11-30,171020085600
2017-12-03,189302389920
2017-12-06,239024437136
2017-12-08,277185764485
2017-12-11,283439888520
2017-12-14,277310347000
2017-12-17,320576568850
2017-12-20,278528964015
2017-12-23,246349213910
2017-12-26,269908107763
2017-12-29,245793634125
2018-01-01,229119155396
2018-01-04,261795321110
2018-01-07,276634797271
2018-01-10,251472635522
2018-01-13,241268592240
2018-01-15,232242775485
2018-01-18,192907550324
2018-01-21,195089460991
2018-01-24,191115225673
2018-01-27,192550550498
2018-01-30,170151556678
2018-02-02,148725283812
2018-02-05,117184385122
2018-02-08,139306699929
2018-02-11,137064586975
2018-02-14,160131558835
2018-02-17,187482083882
2018-02-20,192457815912
2018-02-22,168892273935
2018-02-25,163204062358
2018-02-28,175644310997
2018-03-03,194159120569
2018-03-06,182225316082
2018-03-09,157898203939
2018-03-12,155710928717
2018-03-15,140460819364
2018-03-18,139201713268
2018-03-21,151193917440
2018-03-24,146818882936
2018-03-27,132717053150
2018-03-29,121436043045
2018-04-01,116026809075
2018-04-04,116229557118
2018-04-07,117241368688
2018-04-10,115978358964
2018-04-13,134043001354
2018-04-16,136849408643
2018-04-19,140902801023
2018-04-22,149585589886
2018-04-25,150369282696
2018-04-28,158963068374
2018-05-01,155114132125
2018-05-04,165062796742
2018-05-06,164316605278
2018-05-09,158758858205
2018-05-12,144841040789
2018-05-15,144979744412
2018-05-18,140607667610
2018-05-21,143518943480
2018-05-24,129385391552
2018-05-27,125695017596
2018-05-30,126391893474
2018-06-02,130481526036
2018-06-05,130365918088
2018-06-08,130256218613
2018-06-11,118025877189
2018-06-13,108530585830
2018-06-16,111992015616
2018-06-19,115789919278
2018-06-22,104088814967
2018-06-25,106958465208
2018-06-28,101072353482
2018-07-01,109366024632
2018-07-04,113024522547
2018-07-07,117506606000
2018-07-10,108511009626
2018-07-13,106968440793
2018-07-16,115638203962
2018-07-19,128122730711
2018-07-21,127333468174
2018-07-24,144634918474
2018-07-27,140235573607
2018-07-30,140547190784
2018-08-02,130052066760
2018-08-05,121526079384
2018-08-08,108448409560
2018-08-11,108314257212
2018-08-14,106696389129
2018-08-17,113290724406
2018-08-20,108642191682
2018-08-23,112577436411
2018-08-26,115585205491
2018-08-28,122319195736
2018-08-31,121346613238
2018-09-03,125222785390
2018-09-06,112649565532
2018-09-09,108747090915
2018-09-12,109661521297
2018-09-15,113000324618
2018-09-18,110064685348
2018-09-21,116385068032
2018-09-24,114011060309
2018-09-27,115454861756
2018-09-30,114608519470
2018-10-03,112516993837
2018-10-05,114614764674
2018-10-08,115162906843
2018-10-11,108341572839
2018-10-14,108972590373
2018-10-17,113399343801
2018-10-20,112476559221
2018-10-23,112279779884
2018-10-26,112294341019
2018-10-29,109862898081
2018-11-01,110683820788
2018-11-04,110689215104
2018-11-07,113395632954.68
2018-11-09,110905767441
2018-11-12,110689666527.5
2018-11-15,98151606540.75
2018-11-18,97753714643
2018-11-21,80020171046.79
2018-11-24,67495633205
2018-11-27,66468970322
2018-11-30,69904637061.278
2018-12-03,67779050169.8008
2018-12-06,61303965507.8301
2018-12-09,62942160928.0342
2018-12-12,60741625425.5272
2018-12-15,56400691424.6544
2018-12-17,61798926686.5305
2018-12-20,72078243770.6126
2018-12-23,69741217416.6041
2018-12-26,67292819464.6361
2018-12-29,66672244158.107
2019-01-01,67098634180.6128
2019-01-04,67368333500.343
2019-01-07,70316305580.3226
2019-01-10,64288932886.0169
2019-01-13,62106461671.3502
2019-01-16,63909348775.7898
2019-01-19,65214103658.5829
2019-01-22,63065139423.6322
2019-01-24,63014066011.6996
2019-01-27,62737274092.7359
2019-01-30,61044262622.3971
2019-02-02,61675119055.415
2019-02-05,60735563489.7233
2019-02-08,64270269952.7511
2019-02-11,63968390249.9939
2019-02-14,63434486051.9796
2019-02-17,64453368778.9611
2019-02-20,70194350041.973
2019-02-23,72720867208.2186
2019-02-26,67683296223.3571
2019-03-01,67796965743.3518
2019-03-03,67592376373.1992
2019-03-06,68609885775.7594
2019-03-09,69674508654.6229
2019-03-12,68743000581.0221
2019-03-15,69675002376.5269
2019-03-18,70958165406.797
2019-03-21,70926226881.5237
2019-03-24,70823042992.427
2019-03-27,71987847570.6632
2019-03-30,72355190645.0434
2019-04-02,85986009273.1489
2019-04-05,88796118649.975
2019-04-08,93286365973.0142
2019-04-10,93918439274.0321
2019-04-13,89925574874.6422
2019-04-16,92404613297.4486
2019-04-19,93638345002.2649
2019-04-22,95354207775.9268
2019-04-25,92046492863.6906
2019-04-28,93391244394.8948
2019-05-01,95501110090.8014
2019-05-04,103112021258.803
2019-05-07,103112368557.499
2019-05-10,112863284035.003
2019-05-13,138316573807.201
2019-05-16,139599559277.841
2019-05-18,128761727083.303
2019-05-21,141065573610.266
2019-05-24,141539115575.014
2019-05-27,156093754762.006
2019-05-30,147525141134.055
2019-06-02,155077231351.225
2019-06-05,138824651666.408
2019-06-08,141172841635.462
2019-06-11,140748537529.853
2019-06-14,154398880249.084
2019-06-17,165573372261.217
2019-06-20,169304784791.184
2019-06-22,190214124823.557
2019-06-25,209647943360.178
2019-06-28,220681459665.927
2019-07-01,188297637573.825
2019-07-04,199617404431.54
2019-07-07,203881891345.94
2019-07-10,216515999522.295
2019-07-13,202968191000.8
2019-07-16,168908640950.353
2019-07-19,187725578627.888
2019-07-22,184443440747.993
2019-07-25,176806451137.238
2019-07-28,170461958073.989
2019-07-30,171472452506.045
2019-08-02,187791090996.091
2019-08-05,210848822060.36
2019-08-08,213788089212.212
2019-08-11,205941632234.684
2019-08-14,179692803424.26
2019-08-17,182966857173
2019-08-20,192530283565.253
2019-08-23,186231409722.18
2019-08-26,185625235888.757
2019-08-29,170274910132.348
2019-09-01,174768292883.373
2019-09-04,189810010607.682
2019-09-06,185530405363.172
2019-09-09,185263578990.272
2019-09-12,186678943058.602
2019-09-15,185618174383.964
