date,cap
2017-08-17,28357573570
2017-08-19,27995885730.5
2017-08-22,29646659313.6
2017-08-25,31281210162.4
2017-08-28,32792635350.2
2017-08-31,36142706813.6
2017-09-03,32807142041.2
2017-09-06,31584914370.2
2017-09-09,27829435117.5
2017-09-12,27568017612.9
2017-09-15,23704566169.9
2017-09-18,27794233413.2
2017-09-21,24502550354.3
2017-09-23,27125537826.4
2017-09-26,27259015800.1
2017-09-29,27654290279.9
2017-10-02,28237763673.8
2017-10-05,28098336332.5
2017-10-08,29322710612.1
2017-10-11,28847211567.6
2017-10-14,32301459659.3
2017-10-17,30173609811.9
2017-10-20,28947916800.4
2017-10-23,27341319875.9
2017-10-26,28271925665.9
2017-10-29,29106827254.2
2017-10-31,29194751984.9
2017-11-03,29197317355.4
2017-11-06,28564296471.6
2017-11-09,30685584327.4
2017-11-12,29463540579.2
2017-11-15,31919060540
2017-11-18,33305160559.1
2017-11-21,34552559750
2017-11-24,45560021462.3
2017-11-27,46111561438.2
2017-11-30,42947937239
2017-12-03,44776362723.9
2017-12-06,41220997941.6
2017-12-08,43879256076.4
2017-12-11,49597927197.8
2017-12-14,67036917106.7
2017-12-17,69409025337.5
2017-12-20,79014430827.6
2017-12-23,69441297649.2
2017-12-26,74744613930.9
2017-12-29,72835328712.1
2018-01-01,74724233457.5
2018-01-04,94924308782.9
2018-01-07,111670667774
2018-01-10,121689425203
2018-01-13,135400735922
2018-01-15,125319766537
2018-01-18,100588318055
2018-01-21,101943726022
2018-01-24,102902843882
2018-01-27,107663911307
2018-01-30,104234481555
2018-02-02,89173962073.8
2018-02-05,68005284182.7
2018-02-08,79733609806.2
2018-02-11,79476512346.9
2018-02-14,90157005929.3
2018-02-17,95151956513.1
2018-02-20,87514997546.3
2018-02-22,79482140043.6
2018-02-25,82659602549
2018-02-28,83728564148.6
2018-03-03,83979651072.5
2018-03-06,80083929890.6
2018-03-09,71498733754
2018-03-12,68688764839.3
2018-03-15,60037233577.4
2018-03-18,52934184182
2018-03-21,55237391316
2018-03-24,51799123912
2018-03-27,44316774117.9
2018-03-29,38016727208.9
2018-04-01,37413407420.1
2018-04-04,37528933631.2
2018-04-07,38023057370.7
2018-04-10,40903130395.8
2018-04-13,48683660481.3
2018-04-16,50534185799.2
2018-04-19,56178772001.3
2018-04-22,61556034015.4
2018-04-25,60955966710.5
2018-04-28,67759208003.9
2018-05-01,66803233984.4
2018-05-04,77960306235.7
2018-05-06,78656662788.1
2018-05-09,74728439729.9
2018-05-12,68192028457.7
2018-05-15,70504110200.8
2018-05-18,69104455848.8
2018-05-21,69631032596.2
2018-05-24,59962094302
2018-05-27,57099072056.3
2018-05-30,55829809816.9
2018-06-02,59080880116.9
2018-06-05,60864980394.9
2018-06-08,60080608858
2018-06-11,53337466294.1
2018-06-13,47777150787
2018-06-16,50024018701.1
2018-06-19,53893191559.4
2018-06-22,46694859627.8
2018-06-25,46171165113.8
2018-06-28,42391125054.3
2018-07-01,45585861718.1
2018-07-04,46960391870.5
2018-07-07,49436674024.9
2018-07-10,43708241775.1
2018-07-13,43694988768.9
2018-07-16,48419026521.3
2018-07-19,47335899963
2018-07-21,46630720739
2018-07-24,48368209917.3
2018-07-27,47417755376.4
2018-07-30,46175217427
2018-08-02,41709183608.4
2018-08-05,41521715110.2
2018-08-08,36091566801.1
2018-08-11,32619681420.3
2018-08-14,28263969131.7
2018-08-17,32011921282.7
2018-08-20,27829775230.8
2018-08-23,28129662664.2
2018-08-26,27953028997.1
2018-08-28,30128902936.5
2018-08-31,28774922508.3
2018-09-03,29428616901.4
2018-09-06,23435751842
2018-09-09,20058708800
2018-09-12,18685319378.4
2018-09-15,22749647320.9
2018-09-18,21426628308.9
2018-09-21,25177561991.2
2018-09-24,23368514474.6
2018-09-27,23358464738.5
2018-09-30,23817805502.1
2018-10-03,22567089085.9
2018-10-05,23304234601.1
2018-10-08,23487672999.7
2018-10-11,19426181717.3
2018-10-14,20075397006.8
2018-10-17,21254117735.7
2018-10-20,21097037288.7
2018-10-23,20997181867.2
2018-10-26,20906130835.2
2018-10-29,20292811277.7
2018-11-01,20472105763.9
2018-11-04,21371416840.4
2018-11-07,22383497661.8305
2018-11-09,21659329261.3419
2018-11-12,21707637539.5254
2018-11-15,18663659629.0191
2018-11-18,18288411984.3956
2018-11-21,14127420909.3746
2018-11-24,11735901798.827
2018-11-27,11382216772.81
2018-11-30,11716096075.5861
2018-12-03,11282911403.5501
2018-12-06,9510417097.19255
2018-12-09,9866414731.76198
2018-12-12,9400044026.00045
2018-12-15,8766638124.2495
2018-12-17,9880456238.6125
2018-12-20,12076674310.4854
2018-12-23,13595887731.6921
2018-12-26,13717858345.6728
2018-12-29,14365797195.6268
2019-01-01,14665318369.5793
2019-01-04,16107068093.0135
2019-01-07,15814868678.4056
2019-01-10,13416263931.3845
2019-01-13,12199288487.1023
2019-01-16,12899812275.3187
2019-01-19,13007954845.5818
2019-01-22,12410972240.9689
2019-01-24,12269992351.2449
2019-01-27,11861671822.0094
2019-01-30,11396282341.1625
2019-02-02,11560765572.9744
2019-02-05,11253035388.4001
2019-02-08,12496945335.9863
2019-02-11,12714795026.099
2019-02-14,12729213674.5428
2019-02-17,14014695489.541
2019-02-20,15694462392.6945
2019-02-23,16670632412.0171
2019-02-26,14502464167.2811
2019-03-01,14335957424.6309
2019-03-03,13900679027.0155
2019-03-06,14590867639.43
2019-03-09,14509873018.1563
2019-03-12,14144929391.8688
2019-03-15,14492364550.8005
2019-03-18,14675181093.7188
2019-03-21,14392427839.4474
2019-03-24,14434995336.8381
2019-03-27,14862394450.5514
2019-03-30,14984615423.234
2019-04-02,17297572364.584
2019-04-05,17468192986.1115
2019-04-08,19031640376.2705
2019-04-10,18728058766.8129
2019-04-13,17380468168.9383
2019-04-16,17715913572.0781
2019-04-19,18366130179.5121
2019-04-22,18179292262.6536
2019-04-25,16343573972.6015
2019-04-28,16650076836.9297
2019-05-01,17029616915.1798
2019-05-04,17376070197.628
2019-05-07,17994460618.5493
2019-05-10,18355936406.3344
2019-05-13,20876934045.1233
2019-05-16,28010958252.9023
2019-05-18,24896520187.1655
2019-05-21,27095257004.1212
2019-05-24,26497014858.4764
2019-05-27,28991071395.5429
2019-05-30,27194892740.7185
2019-06-02,28732949884.7457
2019-06-05,26278874480.4874
2019-06-08,26149221978.7501
2019-06-11,26163906568.7401
2019-06-14,28123338884.4728
2019-06-17,29227567867.3796
2019-06-20,28955655289.9731
2019-06-22,32980338717.0479
2019-06-25,33925712999.8582
2019-06-28,33202586959.5675
2019-07-01,31338571563.3304
2019-07-04,30377082393.6103
2019-07-07,32650611905.7219
2019-07-10,30985827113.2954
2019-07-13,28801816022.8443
2019-07-16,21298941498.7518
2019-07-19,23675884534.2591
2019-07-22,23281138562.9913
2019-07-25,23510336984.4543
2019-07-28,22616386468.2393
2019-07-30,22551013736.1935
2019-08-02,23347127326.7587
2019-08-05,25108076876.4348
2019-08-08,23694202562.3418
2019-08-11,23183002869.0522
2019-08-14,20027397541.0164
2019-08-17,19936235952.7187
2019-08-20,21112106338.601
2019-08-23,20920364878.5136
2019-08-26,20307338402.9685
2019-08-29,18227677830.668
2019-09-01,18461846967.6036
2019-09-04,18938360722.9922
2019-09-06,18293376880.6347
2019-09-09,19505534124.1163
2019-09-12,19498542851.5573
2019-09-15,20451239362.2781
2019-09-18,22787891774.2794
2019-09-21,23241121350.7197
2019-09-24,18135747380.4531
2019-09-27,18854855889.0488
2019-09-30,19419149343.0273
2019-10-03,18921747814.4379
2019-10-06,18697637484.0571
2019-10-09,20891536594.5492
2019-10-12,19551368532.4125
2019-10-14,20219637356.554
2019-10-17,19260755682.183
2019-10-20,18997957789.4207
2019-10-23,17583244177.4492
2019-10-26,19477741704.7434
2019-10-29,20623205053.7217
2019-11-01,19940014310.5249
2019-11-04,20205859402.4272
2019-11-07,20389037933.9408
2019-11-10,20559121064.6157
2019-11-13,20434064781.4449
2019-11-16,19908020820.5157
2019-11-19,19274876582.6635
2019-11-21,17541867625.6188
2019-11-24,15523459920.4853
2019-11-27,16634910472.4683
2019-11-30,16589132425.8639
2019-12-03,16095928402.0656
2019-12-06,16235876300.527
2019-12-09,16135631419.6062
2019-12-12,15855473988.2291
2019-12-15,15589117504.1594
2019-12-18,14501554619.9584
2019-12-21,13964992761.0441
2019-12-24,14070696527.9187
2019-12-26,13778664460.1475
2019-12-29,14698483422.0906
2020-01-01,14271059633.0755
2020-01-04,14741946278.126
2020-01-07,15672773110.1732
2020-01-10,15724494552.6748
2020-01-13,15759102081.3277
2020-01-16,17969103320.7762
2020-01-19,18257853531.6232
2020-01-22,18409534609.4783
2020-01-25,17649296255.9479
2020-01-28,19307396128.3943
2020-01-31,19729633077.607
2020-02-02,20660936266.9287
2020-02-05,22379510312.3186
2020-02-08,24461492838.843
2020-02-11,25863852652.7983
2020-02-14,31179427622.664
2020-02-17,29231690264.404
2020-02-20,28318879771.1218
2020-02-23,30065188433.327
2020-02-26,24794645345.3129
2020-02-29,24162913195.453
2020-03-03,24681090482.5459
2020-03-06,26785082138.7094
2020-03-09,22224520905.918
2020-03-11,21446678546.1607
2020-03-14,13575727274.8179
2020-03-17,12549513954.4941
2020-03-20,14624949756.7366
2020-03-23,14870079034.5566
2020-03-26,15255985585.5517
2020-03-29,13852241607.2783
2020-04-01,14966424710.3319
2020-04-04,16029973618.0818
2020-04-07,18231455421.9281
2020-04-10,17499250378.1532
2020-04-13,17270031992.1863
2020-04-16,19031693317.2915
2020-04-18,20668075856.6276
2020-04-21,19107591181.7675
2020-04-24,20940434736.6902
2020-04-27,21832392036.1099
2020-04-30,22989647064.8035
2020-05-03,23367177866.6255
2020-05-06,22613632877.0933
2020-05-09,23458353557.9526
2020-05-12,20995260628.8043
2020-05-15,21703086884.9707
2020-05-18,23808928396.2325
2020-05-21,22192109649.8768
2020-05-24,22476471749.8903
2020-05-26,22429962991.4266
2020-05-29,24524484269.4994
2020-06-01,27459257209.3334
2020-06-04,27184018611.4984
2020-06-07,27276459502.3961
2020-06-10,27539945413.3418
2020-06-13,26599679550.2949
2020-06-16,26109047391.7202
2020-06-19,25307718819.0129
2020-06-22,27032930743.0122
2020-06-25,25973707946.1754
2020-06-28,25135786985.5184
2020-07-01,25788404349.8574
2020-07-03,25155571599.652
2020-07-06,26964937043.2266
2020-07-09,27143016879.0994
2020-07-12,27054158345.9268
2020-07-15,26649577378.4206
2020-07-18,26330601163.8005
2020-07-21,27406496758.4107
2020-07-25,34027002730.2282
2020-07-28,35450097600.2147
2020-07-31,38699278448.6592
2020-08-03,43277729882.103
2020-08-06,44264836294.3033
2020-08-08,44166324645.9802
2020-08-11,42656945169.3968
2020-08-14,49068474083.0404
2020-08-17,48203426750.7282
2020-08-20,46751356941.1
2020-08-23,43954518396.1863
2020-08-26,43417926668.4177
2020-08-29,44945899479.8523
2020-09-01,53633933560.1349
2020-09-04,43665020996.3354
2020-09-07,39679199319.9028
2020-09-10,41430053162.3925
2020-09-13,41160025962.3255
2020-09-15,41087642852.7861
2020-09-18,43302193327.1808
2020-09-21,38519366614.9833
2020-09-24,39384347821.51636
2020-09-27,40309981003.8054
2020-09-30,40606130497.96264
2020-10-03,39106512853.707
2020-10-06,38476195645.38716
2020-10-09,41287658659.50327
2020-10-12,43805601681.190834
2020-10-15,42659015495.38777
2020-10-18,42761561163.7144
2020-10-21,44354670581.87589
2020-10-23,46356841439.75874
2020-10-26,44576504573.78982
2020-10-29,43782246356.04649
2020-11-01,44888307221.40616
2020-11-04,45559668259.44851
2020-11-07,49380744877.99334
2020-11-10,50981825541.89314
2020-11-13,53829432990.090485
2020-11-16,52182517296.90649
2020-11-19,53528035617.425156
2020-11-22,63361036975.498276
2020-11-25,64816875592.54139
2020-11-28,61152393529.21103
2020-11-30,69873714778.47928
2020-12-03,70110808537.54408
2020-12-06,68452719868.01412
2020-12-09,65242758700.21787
2020-12-12,64706942225.99528
2020-12-15,67096668321.69698
2020-12-18,74575304994.55286
2020-12-21,69475834114.53963
2020-12-24,69704465559.66194
2020-12-27,77828069141.04636
2020-12-30,85722581848.92598
2021-01-02,88367612520.27962
2021-01-05,125545618320.15997
2021-01-07,139921813991.6793
2021-01-10,144147690008.65298
2021-01-13,129175741557.3657
2021-01-16,140969419371.64862
2021-01-19,157454089944.8793
2021-01-22,141409699225.45984
2021-01-25,151516304275.35352
2021-01-28,152494242714.12
2021-01-31,150543956657.31
2021-02-03,190213812447.49
2021-02-06,192221649234.01
2021-02-09,202625894958.75
2021-02-12,211353402277.61
2021-02-14,206994111569.56
2021-02-17,212042961268.08
2021-02-20,220274162486.18
2021-02-23,180251030148.47
2021-02-26,166055498546.28
2021-03-01,179746905786
2021-03-04,177191062441.39
2021-03-07,198088541069.55
2021-03-10,206899711010.48
2021-03-13,221411849362.86
2021-03-16,207943962561.62
2021-03-19,209243467429.34
2021-03-21,205906557856.47
2021-03-24,183540070276.94
2021-03-27,197787142643.22
2021-03-30,212788788570.88
2021-04-02,247132282843.96
2021-04-05,243143128759.79
2021-04-08,241000078757.85
2021-04-11,249059103191.91
2021-04-14,281183637540.49
2021-04-17,270861474696.88
2021-04-20,269259968844.18
